,household_key,coef,ascending
185,2413,[ 0.00000000e+00 -5.28390565e-02  8.63285910e-06],1
186,404,[ 0.00000000e+00 -6.00106157e-02  7.03448622e-05],1
187,235,[ 0.         -0.11192985  0.00014268],1
188,2039,[ 0.          0.12884852 -0.00016364],1
189,1905,[ 0.         -0.16534798  0.00019086],1
190,604,[ 0.00000000e+00 -5.93807457e-02  9.41788597e-05],1
191,2357,[ 0.00000000e+00 -4.25716169e-02  4.43858558e-05],1
192,280,[ 0.00000000e+00  2.01608715e-03 -1.34918228e-05],1
193,1943,[ 0.          0.1092282  -0.00019081],1
194,805,[ 0.00000000e+00 -4.20262165e-02  8.05565977e-05],1
195,25,[ 0.          0.09930326 -0.00013774],1
196,259,[ 0.00000000e+00  1.14873562e-02 -1.10844532e-05],1
197,2307,[ 0.00000000e+00  6.36709773e-02 -9.01636245e-05],1
198,626,[ 0.          0.07394995 -0.00018257],1
199,1794,[ 0.00000000e+00 -1.19085922e-01  1.13641824e-04],1
200,2224,[ 0.00000000e+00 -5.27612833e-02  4.49069013e-05],1
201,1361,[ 0.         -0.02689404  0.00011643],1
203,433,[ 0.00000000e+00 -8.76288474e-02  9.87451235e-05],1
204,125,[ 0.00000000e+00  1.34263324e-02 -4.02352294e-05],1
205,1019,[ 0.         -0.0851319   0.00013043],1
206,2374,[ 0.          0.19530538 -0.00022244],1
207,2193,[ 0.00000000e+00 -1.17773698e-01  3.66093918e-05],1
208,1835,[ 0.00000000e+00 -4.19885108e-02  8.25419546e-05],1
209,183,[ 0.00000000e+00 -6.38770973e-02  6.95816076e-05],1
210,2334,[ 0.00000000e+00  1.09086827e-01 -9.18943486e-05],1
211,1356,[ 0.00000000e+00 -1.76135649e-02  2.66341062e-05],1
212,1110,[ 0.00000000e+00  1.51681417e-01 -1.32925026e-04],1
213,2392,[ 0.          0.14687874 -0.00020097],1
214,551,[ 0.00000000e+00 -3.04095189e-02  5.01700144e-05],1
215,2146,[0.00000000e+00 5.85775167e-03 1.95848971e-06],1
216,1308,[ 0.00000000e+00 -1.82338006e-02  3.90548827e-05],1
217,2064,[ 0.00000000e+00  7.17794085e-02 -7.14549769e-05],1
218,1292,[ 0.00000000e+00  9.30801526e-02 -9.11885804e-05],1
219,52,[0.00000000e+00 3.09603671e-02 1.42327179e-05],1
220,362,[0.00000000e+00 2.35572418e-03 2.59269967e-05],1
221,918,[ 0.          0.16293546 -0.00019476],1
222,1220,[ 0.         -1.43945237  0.00155636],1
223,1102,[ 0.         -0.13351459  0.00018671],1
